"Compounds ID", "Tags", "Checked", "Name", "Formula", "Annot. Source: Predicted Compositions", "Annot. Source: mzCloud Search", "Annot. Source: mzVault Search", "Annot. Source: ChemSpider Search", "Annot. Source: MassList Search", "Annot. DeltaMass [ppm]", "Calc. MW", "m/z", "RT [min]", "Area (Max.)", "# ChemSpider Results", "# mzCloud Results", "# mzVault Results", "mzCloud Best Match", "mzCloud Best Match Confidence", "mzVault Best Match", "mzVault Library Match: Bamba lab 34 lipid mediators library stepped NCE 10 30 45", "mzVault Library Match: Bamba lab 598 polar metabolites stepped NCE 10 30 45", "mzVault Library Match: Custom mzVault Library", "mzVault Library Match: LipidBlast-VS68-Neg", "mzVault Library Match: LipidBlast-VS68-Pos", "Class Coverage: Phosphatidylcholine Compound Class", "Mass List Match: LipidMaps Structure Database 2021-09-13", "MS2", "Neutral Losses", "Reference Ion", "Group Area: cla", "Group Area: cla/lps", "Group Area: ctrl", "Group Area: lps", "Group Area: no2-cla/lps", "Group CV [%]: cla", "Group CV [%]: cla/lps", "Group CV [%]: ctrl", "Group CV [%]: lps", "Group CV [%]: no2-cla/lps", "Ratio: (cla) / (ctrl)", "Ratio: (lps) / (ctrl)", "Ratio: (no2-cla/lps) / (ctrl)", "Ratio: (cla/lps) / (lps)", "Ratio: (no2-cla/lps) / (lps)", "Log2 Fold Change: (cla) / (ctrl)", "Log2 Fold Change: (lps) / (ctrl)", "Log2 Fold Change: (no2-cla/lps) / (ctrl)", "Log2 Fold Change: (cla/lps) / (lps)", "Log2 Fold Change: (no2-cla/lps) / (lps)", "P-value: (cla) / (ctrl)", "P-value: (lps) / (ctrl)", "P-value: (no2-cla/lps) / (ctrl)", "P-value: (cla/lps) / (lps)", "P-value: (no2-cla/lps) / (lps)", "Adj. P-value: (cla) / (ctrl)", "Adj. P-value: (lps) / (ctrl)", "Adj. P-value: (no2-cla/lps) / (ctrl)", "Adj. P-value: (cla/lps) / (lps)", "Adj. P-value: (no2-cla/lps) / (lps)", "Peak Rating (Max.)", "Peak Rating: Liver-F-9.raw (F9)", "Peak Rating: Liver-F-10.raw (F10)", "Peak Rating: Liver-F-11.raw (F11)", "Peak Rating: Liver-F-12.raw (F12)", "Peak Rating: Liver-F-13.raw (F13)", "Peak Rating: Liver-F-14.raw (F14)", "Peak Rating: Liver-F-15.raw (F15)", "Peak Rating: Liver-F-16.raw (F16)", "Peak Rating: Liver-F-25.raw (F25)", "Peak Rating: Liver-F-26.raw (F26)", "Peak Rating: Liver-F-27.raw (F27)", "Peak Rating: Liver-F-28.raw (F28)", "Peak Rating: Liver-F-29.raw (F29)", "Peak Rating: Liver-F-30.raw (F30)", "Peak Rating: Liver-F-31.raw (F31)", "Peak Rating: Liver-F-32.raw (F32)", "Peak Rating: Liver-F-1.raw (F1)", "Peak Rating: Liver-F-2.raw (F2)", "Peak Rating: Liver-F-3.raw (F3)", "Peak Rating: Liver-F-4.raw (F4)", "Peak Rating: Liver-F-5.raw (F5)", "Peak Rating: Liver-F-6.raw (F6)", "Peak Rating: Liver-F-7.raw (F7)", "Peak Rating: Liver-F-8.raw (F8)", "Peak Rating: Liver-F-17.raw (F17)", "Peak Rating: Liver-F-18.raw (F18)", "Peak Rating: Liver-F-19.raw (F19)", "Peak Rating: Liver-F-20.raw (F20)", "Peak Rating: Liver-F-21.raw (F21)", "Peak Rating: Liver-F-22.raw (F22)", "Peak Rating: Liver-F-23.raw (F23)", "Peak Rating: Liver-F-24.raw (F24)", "Peak Rating: Liver-F-33.raw (F33)", "Peak Rating: Liver-F-34.raw (F34)", "Peak Rating: Liver-F-35.raw (F35)", "Peak Rating: Liver-F-36.raw (F36)", "Peak Rating: Liver-F-37.raw (F37)", "Peak Rating: Liver-F-38.raw (F38)", "Peak Rating: Liver-F-39.raw (F39)", "Peak Rating: Liver-F-40.raw (F40)"
"303", "", "False", "Minabeolide-8", "C29 H42 O5", "Full match", " No results", " No results", " Full match", " Full match", "1.14", "470.30376", "469.29648", "6.513", "13125793.1327578", "1", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Single match found", "PreferredDDA", "CO2", "[M-H]-1", "2204914.24032457", " 2693767.23275571", " 2621805.08771198", " 2434160.12625574", " 2822158.6084256", "57.4613324159825", " 46.5783877989897", " 103.402533090124", " 73.842224943967", " 77.9309780529582", "0.841", " 0.928", " 1.076", " 1.107", " 1.159", "-0.25", " -0.11", " 0.11", " 0.15", " 0.21", "0.932414872191047", " 0.993419029005962", " 0.98737211871094", " 0.999761493918713", " 0.999991108933908", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "6.6", "5.2", " 5.2", " 5.0", " 5.4", " 5.4", " 5.6", " 4.8", " 5.3", " 5.4", " 5.4", " 4.8", " 5.8", " 6.0", " 6.0", " 5.2", " 4.6", " 3.9", " 4.8", " 6.6", " 5.2", " 5.8", " 6.0", " 5.4", " 5.5", " 5.4", " 3.3", " 2.3", " 6.0", " 5.2", " 4.2", " 3.4", " 5.8", " 5.2", " 4.9", " 6.0", " 2.3", " 5.4", " 6.4", " 3.3", " 4.2"
"323", "", "False", "", "C22 H27 N2 O2 P", "Full match", " No results", " No results", " No results", " No results", "1.24", "382.18149", "381.17421", "8.202", "12956068.5077517", "0", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "No matches found", "PreferredDDA", "CO2", "[M-H]-1", "5327213.78462965", " 4406727.77620602", " 4156741.51406197", " 5943259.3365897", " 3876250.47095", "46.2804220987738", " 59.9856345297429", " 74.9525192717503", " 45.3314619550709", " 59.389078854167", "1.282", " 1.430", " 0.933", " 0.741", " 0.652", "0.36", " 0.52", " -0.10", " -0.43", " -0.62", "0.999996668720703", " 0.978752701760336", " 0.857587566038781", " 0.962690396358535", " 0.532360346776788", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "6.4", "3.0", " 3.3", " 1.8", " 3.1", " 1.8", " 4.1", " 4.5", " 5.9", " 3.1", " 3.0", " ", " 4.2", " 3.3", " 3.7", " 4.1", " 0.6", " 5.2", " 5.4", " 2.4", " ", " 4.2", " ", " 4.8", " 2.9", " 3.9", " ", " 3.2", " 3.7", " 6.4", " 3.7", " 2.7", " 3.0", " ", " 1.7", " 2.1", " ", " ", " 3.5", " 4.1", " 2.2"
"322", "", "False", "alpha-hydroxy myristic acid", "C14 H28 O3", "Full match", " No results", " No results", " Not the top hit", " Full match", "0.24", "244.20390", "243.19663", "5.929", "12934019.8088014", "13", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "1936190.7808746", " 4941035.39582841", " 1846966.54858908", " 4663301.41540219", " 3774443.63404148", "44.1838098116037", " 58.8254969844241", " 30.1301243449149", " 44.2521346624733", " 76.6545875695728", "1.048", " 2.525", " 2.044", " 1.060", " 0.809", "0.07", " 1.34", " 1.03", " 0.08", " -0.31", "0.998801231463029", " 0.00660310312642798", " 0.0297657472484757", " 0.988958994709646", " 0.975992105679179", "0.999999999946231", " 0.0976188489231379", " 0.27972324244192", " 0.999999999996915", " 1", "6.6", "5.4", " ", " 3.6", " 3.3", " 4.0", " 5.0", " 5.0", " 2.9", " 5.4", " 6.2", " 6.0", " 5.4", " 5.8", " 5.2", " 5.4", " 5.6", " 3.0", " 4.7", " 5.9", " 3.0", " 3.0", " 3.8", " 5.1", " 5.3", " 4.6", " 5.0", " 5.2", " 5.2", " 5.6", " 5.6", " 6.1", " 5.6", " 5.0", " 6.1", " 5.8", " 4.8", " 6.0", " 6.6", " 6.0", " 6.0"
"505", "", "False", "13,14-Dihydro-15-keto Prostaglandin A2", "C20 H30 O4", "Full match", " Full match", " Full match", " Not the top hit", " Not the top hit", "2.42", "334.21522", "333.20794", "3.996", "12932318.5835643", "113", "20", "2", "93.6", "9.7", "14.0", "Multiple matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "CO2", "[M-H]-1", "4260672.95296285", " 3571814.24081085", " 5405581.07460722", " 1724973.27144389", " 1960958.00526839", "87.6202893633263", " ", " 40.0579992424207", " 20.0616063654337", " 32.9378538469067", "0.788", " 0.319", " 0.363", " 2.071", " 1.137", "-0.34", " -1.65", " -1.46", " 1.05", " 0.18", "0.909465951736524", " 0.298859389262964", " 0.269250717131847", " ", " 0.999996026651462", "0.999999999946231", " 1", " 1", " ", " 1", "4.8", "", " 4.8", " ", " 1.6", " 1.8", " 3.6", " 3.3", " 1.1", " ", " ", " ", " ", " ", " 1.2", " ", " ", " 1.2", " ", " 3.3", " ", " 1.4", " 3.7", " 3.0", " 1.6", " 1.6", " 1.6", " ", " ", " ", " ", " ", " 3.0", " ", " 1.1", " 1.1", " ", " ", " 3.6", " ", " "
"646", "", "False", "15-HETE-G", "C23 H38 O5", "Full match", " No results", " No results", " Not the top hit", " Full match", "1.87", "394.27266", "393.26539", "2.955", "12875356.3504469", "11", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "2376206.63900866", " 8283870.48143484", " 4069593.90871854", " 8232251.37750279", " ", "70.5105946892931", " ", " 76.818091474517", " ", " ", "0.584", " 2.023", " 0.000", " 1.006", " 0.000", "-0.78", " 1.02", " -Infinity", " 0.01", " -Infinity", "0.915431967152882", " ", " ", " ", " ", "0.999999999946231", " ", " ", " ", " ", "4.7", "0.6", " 0.8", " 3.0", " 0.6", " 3.7", " 1.2", " 2.2", " ", " ", " 3.3", " ", " ", " ", " ", " ", " ", " 0.6", " 4.7", " 1.4", " 2.3", " ", " 0.5", " 1.4", " 1.4", " ", " ", " ", " ", " 4.5", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " "
"337", "", "False", "LPE 18:2", "C23 H44 N O7 P", "Not the top hit", " No results", " Full match", " Partial match", " Partial match", "0.64", "477.28584", "476.27857", "5.172", "12783578.9530639", "2", "0", "1", "", "", "68.5", "No matches found", " No matches found", " No matches found", " Single match found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "", " 12783578.9530639", " ", " 643665.125745306", " 529902.470939184", "", " ", " ", " 11.7769597204026", " 5.68575448346987", "", " Infinity", " Infinity", " 19.861", " 0.823", "", " Infinity", " Infinity", " 4.31", " -0.28", "", " ", " ", " ", " 0.298453694438503", "", " ", " ", " ", " 1", "6.3", "", " ", " ", " ", " ", " ", " ", " ", " ", " ", " 5.1", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " 4.3", " ", " ", " 2.4", " ", " ", " ", " ", " 6.3", " 5.6", " ", " "
"473", "", "False", "Certonardosterol K", "C27 H46 O6", "Not the top hit", " No results", " No results", " Not the top hit", " Full match", "1.17", "466.32999", "465.32261", "4.040", "12605340.4832929", "24", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "Multiple matches found", "PreferredDDA", "", "[M-H]-1", "206893.227875507", " 1610174.23177172", " 2269650.88105865", " 4587032.14740685", " 1939993.29300315", "", " 64.8487156890153", " ", " 81.363380788109", " 55.6661818276663", "0.091", " 2.021", " 0.855", " 0.351", " 0.423", "-3.46", " 1.02", " -0.23", " -1.51", " -1.24", "", " ", " ", " 0.152032093433186", " 0.553043346308875", "", " ", " ", " 0.999999999996915", " 1", "5.2", "", " ", " ", " ", " ", " ", " 2.3", " ", " ", " 0.5", " ", " 1.9", " 4.6", " 2.0", " 3.6", " 1.5", " ", " ", " 3.1", " ", " ", " ", " ", " ", " ", " ", " 1.0", " ", " 2.9", " 5.2", " 5.1", " 2.2", " 0.2", " ", " 4.4", " ", " 3.1", " 4.8", " 0.8", " 2.1"
"364", "", "False", "", "C19 H40 Cl N4 O3 P", "Full match", " No results", " No results", " No results", " No results", "-0.01", "438.25265", "437.24537", "6.929", "12268254.9448048", "0", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "No matches found", "PreferredDDA", "", "[M-H]-1", "511517.389613564", " 1144155.48187412", " 4130603.12909556", " 2989745.55126447", " 762419.993143526", "41.9433562934995", " 92.5966494660473", " 107.786180334796", " 61.2205232378048", " 58.5229488130791", "0.124", " 0.724", " 0.185", " 0.383", " 0.255", "-3.01", " -0.47", " -2.44", " -1.39", " -1.97", "0.178997815627783", " 0.99998214580495", " 0.323042453624927", " 0.655109740340192", " 0.267298084246638", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "5.8", "0.4", " 4.5", " 1.5", " 2.3", " 1.5", " ", " 1.9", " ", " 1.4", " 2.0", " 2.7", " 1.1", " ", " ", " ", " 1.9", " 1.0", " 5.8", " 4.1", " ", " 1.5", " ", " ", " ", " ", " 2.3", " 3.7", " 0.6", " 0.5", " 2.6", " 3.1", " 4.2", " ", " ", " ", " ", " 1.9", " ", " 2.3", " 1.9"
"453", "", "False", "", "C14 H24 O4", "Full match", " No results", " No results", " No results", " No results", "0.93", "256.16770", "255.16041", "3.835", "12258190.3978127", "0", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "No matches found", "PreferredDDA", "CO2", "[M-H]-1", "4284748.30444834", " 3160004.01194535", " 1453036.42173869", " 4636556.67070691", " 3977266.96484621", "21.2080834538377", " 58.6105728510122", " ", " 32.7582202507539", " 74.9513923786658", "2.949", " 3.191", " 2.737", " 0.682", " 0.858", "1.56", " 1.67", " 1.45", " -0.55", " -0.22", "", " ", " ", " 0.997144436787729", " 0.999359781917273", "", " ", " ", " 0.999999999996915", " 1", "5.5", "", " ", " 2.4", " 2.2", " 3.4", " 3.2", " 2.8", " ", " 2.9", " 0.5", " ", " 1.4", " 1.2", " 1.8", " ", " ", " ", " ", " 0.6", " ", " ", " ", " ", " ", " 4.7", " 2.7", " 1.7", " 5.4", " 2.3", " 2.3", " 3.5", " ", " ", " 5.5", " 1.0", " 2.3", " 4.1", " 1.4", " 2.0", " "
"282", "", "False", "", "C18 H33 N4 O3 P", "Full match", " No results", " No results", " No results", " No results", "-2.33", "384.22813", "383.22085", "7.114", "12148226.5670235", "0", "0", "0", "", "", "", "No matches found", " No matches found", " No matches found", " No matches found", " No matches found", "", "No matches found", "PreferredDDA", "", "[M-H]-1", "5493732.3950982", " 8650776.15204244", " 6975826.29641639", " 9289184.98399217", " 8646824.7166961", "33.2772223325009", " 22.3069346470615", " 35.9896547476677", " 16.3377396956349", " 24.8380189334546", "0.788", " 1.332", " 1.240", " 0.931", " 0.931", "-0.34", " 0.41", " 0.31", " -0.10", " -0.10", "0.32972627904311", " 0.33277697645353", " 0.67581988501229", " 0.955952463713696", " 0.977247533467594", "0.999999999946231", " 1", " 1", " 0.999999999996915", " 1", "7.4", "4.6", " 6.9", " 6.1", " 4.2", " 6.1", " 4.6", " 3.5", " 4.9", " 5.1", " 6.2", " ", " 5.9", " 4.7", " 4.9", " 7.4", " 5.9", " 5.2", " 4.2", " 4.2", " 4.4", " 5.0", " 6.1", " 2.7", " 3.5", " 6.0", " 5.5", " 6.7", " 5.8", " 5.8", " 5.6", " 4.8", " 4.1", " 6.2", " 7.0", " 3.8", " 7.0", " 4.7", " 4.2", " 5.1", " 3.6"
